"","fips","county","state","cases","deaths","mask_score","ratio_pop_to_physician","unemploy_rate","HS_grad_rate","flu_vacc_%","uninsured","median_income","pop_size","%_rural","life_expectancy","non_hispanic_african_american","american_indian","asian","native_hawaiian","hispanic","non_hispanic_white","sim_diversity_index","%_democrat","area","pop_density"
"3",1001,"Autauga","Alabama",2634,39,3.003,"3264.9411765","0.0386352233","0.9","0.41","0.085009665","58343","55504","0.4200216232","76.330589011",0.1925446815,0.004756414,0.0127918709,0.0010449697,0.0285745172,0.7447391179,0.407286341465445,0.246225319396051,594.44,91.8
"4",1003,"Baldwin","Alabama",8269,84,2.968,"1915.5675676","0.0398833641","0.863615768","0.45","0.1069928804","56607","212628","0.4227909911","78.599497656",0.0895319525,0.0077600316,0.0115647986,0.0006866452,0.0455020035,0.8304738793,0.30003229882071,0.202077927765188,1589.78,114.6
"5",1005,"Barbour","Alabama",1161,10,2.928,"4211.6666667","0.0590092278","0.8141025641","0.37","0.1251319664","32490","25270","0.677896347","75.77945737",0.4794222398,0.0065294816,0.004629996,0.0018599129,0.0420656905,0.4595567867,0.55712482319696,0.471767554479419,884.88,31
"6",1007,"Bibb","Alabama",1142,17,3.348,"1079.4285714","0.043851399","0.8376383764","0.39","0.0968007528","45795","22668","0.6835260746","73.928271076",0.2145756132,0.00427916,0.0022057526,0.0011469914,0.0263808011,0.7429857067,0.401209107048558,0.217603344170924,622.58,36.8
"7",1009,"Blount","Alabama",2763,36,2.892,"5273.9090909","0.0402139299","0.9346879536","0.38","0.1211400416","48253","58013","0.8995150204","74.597766875",0.0146001758,0.0063261683,0.0030165653,0.0011721511,0.0956509748,0.8694430559,0.234656004423918,0.0861882870277833,644.78,88.9
"8",1011,"Bullock","Alabama",690,19,3.186,"1288.625","0.0492518703","0.7024793388","0.26","0.1320648344","29113","10309","0.5137438153","73.117530117",0.691628674,0.0084392279,0.0019400524,0.0077602095,0.0824522262,0.2130177515,0.469339640019203,0.755888650963597,622.81,17.5
"9",1013,"Butler","Alabama",1137,41,2.782,"1525","0.0548848647","0.8158995816","0.35","0.1066708425","36842","19825","0.7123215735","73.505385022",0.4461538462,0.0037831021,0.0102900378,0.0005044136,0.0143757881,0.515964691,0.534400068706221,0.431899849310305,776.83,27
"10",1015,"Calhoun","Alabama",5997,113,2.637,"1978.0689655","0.0493396516","0.9236804565","0.38","0.1119820587","45937","114728","0.3369682556","73.102947697",0.2079004254,0.0052907747,0.0099103968,0.0011243986,0.0374973851,0.7231103131,0.43235536178371,0.287201509532175,605.87,195.7
"11",1017,"Chambers","Alabama",1680,48,2.985,"6742.6","0.0407880865","0.8623853211","0.43","0.1065698299","36883","33713","0.4914803449","74.122277638",0.3948921781,0.0029662148,0.0124877644,0.0004449322,0.0243822858,0.5549787916,0.535299272034197,0.424451456666911,596.53,57.4
"12",1019,"Cherokee","Alabama",989,24,2.903,"1436.5","0.0405405405","0.949044586","0.43","0.1189542484","44842","25857","0.8573627304","74.346572288",0.042154929,0.0063039022,0.002977917,0.000309394,0.0164365549,0.9168503693,0.157289499041225,0.147333333333333,553.7,46.9
"13",1021,"Chilton","Alabama",2169,37,3.24,"7344.5","0.0404854064","0.8820598007","0.4","0.1421126258","46405","44067","0.8674472424","74.192630442",0.1008010529,0.005468945,0.0049923979,0.0017246466,0.0778587151,0.8018471872,0.340760448794577,0.161794130724767,692.85,63
"14",1023,"Choctaw","Alabama",417,13,3.219,"2157.5","0.0638837638","0.7863247863","0.36","0.1128327374","36711","12945","1","74.284126121",0.4162997296,0.0017767478,0.0014677482,0,0.0097334878,0.5646195442,0.507799253540075,0.430907830907831,913.5,15.2
"15",1025,"Clarke","Alabama",1554,19,2.94,"1852.5384615","0.0848445596","0.9090909091","0.29","0.1138065443","36719","24083","0.7598033523","75.893743647",0.4415562845,0.0049412449,0.005024291,0.0001660923,0.0132458581,0.5274675082,0.526580935667166,0.446039258282256,1238.47,20.9
"16",1027,"Clay","Alabama",894,23,2.371,"2227.8333333","0.0436986541","0.898089172","0.41","0.134434634","39642","13367","1","75.393032012",0.1383257275,0.0057604549,0.0024687664,0,0.0311962295,0.8050422683,0.331760456978777,0.190836161678494,603.96,23.1
"17",1029,"Cleburne","Alabama",744,14,2.524,"4966.6666667","0.0445837687","0.9802955665","0.35","0.1189959973","45480","14900","1","73.629785061",0.0308053691,0.0046308725,0.0020134228,0.000738255,0.0242281879,0.9273825503,0.138399585672835,0.106079404466501,560.1,26.7
